"filename", "language", "JSON with Comments", "Ignore", "JSON", "JavaScript", "Markdown", "TypeScript", "Shell Script", "Docker", "TypeScript JSX", "HTML", "JavaScript JSX", "SCSS", "CSV", "comment", "blank", "total"
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0p61m6dda.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0p8hka95h.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0s2ahg6od.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0s8tm59y9.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0t2qr6uiy.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0tc0hqtqq.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0u08a7h2t.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0u2iz6yy3.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0voqe8wtz.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0wqa51ub3.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0y4og1eag.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
